tag,type,sha,date
3.12.0-amd64-zh-cn-xiaoxiaoneural,Docker Image,sha256:517f1d125e02c9ecf022ab315d6aa797abe2d22454248be2e8161bc01feeac59,07/31/2025
3.12.0-amd64-zh-cn-yunyeneural,Docker Image,sha256:5e0489cef272723644d98705e3f6e488ba16a5a5c4575a7723f2fe813a9a3e5e,07/31/2025
3.12.0-amd64-zh-cn-yunyangneural,Docker Image,sha256:f18ce5ec5584d1e2541241bf7f1a53a3d88d64ddc311475311a304f288fcff70,07/31/2025
3.12.0-amd64-zh-cn-xiaoyouneural,Docker Image,sha256:8e9e5b6b845474c1ae1c497c6060cac8392a5c069f7391440e967983fb8efcd8,07/31/2025
3.12.0-amd64-zh-cn-xiaoyanneural-preview,Docker Image,sha256:3ffd6a6b8ee9e352e26eacd0f4f211dd93d28e62c8ea248a8cce83e330274ade,07/31/2025
3.12.0-amd64-zh-cn-yunxineural,Docker Image,sha256:85c421fa5ee431a6ce7ff81e5344226bf62790532358455aaad41f029c8fced6,07/31/2025
3.12.0-amd64-zh-cn-xiaoruineural,Docker Image,sha256:7ec81cc8837dee32d2d673342fb9f93cd1154b2c34f2c13c734db011c6fcfef0,07/31/2025
3.12.0-amd64-zh-cn-xiaoshuangneural-preview,Docker Image,sha256:bf5915116c31293bbf63f282f1c867d291e77fcdc5cf5c180618c916610b449d,07/31/2025
3.12.0-amd64-it-it-isabellamultilingualneural,Docker Image,sha256:60359abf46e0a08a98e2476e3e2852bb7381791ab21d168933e93bc7e4c72491,07/31/2025
3.12.0-amd64-zh-cn-xiaoqiuneural-preview,Docker Image,sha256:ea733229126302af1db544bb7b9ffd0479cb3c3edd7aed0e921036e7f6aa6c8a,07/31/2025
3.12.0-amd64-sv-se-sofieneural,Docker Image,sha256:452c32b1cede86e26c7b0b7f7c93925be998aa8b1a72e554c8882433dba0801f,07/31/2025
3.12.0-amd64-zh-cn-xiaomoneural,Docker Image,sha256:28f90ae50f77fd1cfb0f080f2fa5f58bf77813cd09a1bbaeac50c98acb504dd8,07/31/2025
3.12.0-amd64-zh-cn-xiaohanneural,Docker Image,sha256:f7d81d5a595f46530022872ce013bf7c72d1cbf00a20bc0beb81bb5fb901a5d1,07/31/2025
3.12.0-amd64-sv-se-mattiasneural,Docker Image,sha256:2e50b854288dee9339ae877a0267146749a80f467d775a8d6c0799bf071c04fe,07/31/2025
3.12.0-amd64-zh-cn-xiaochenneural-preview,Docker Image,sha256:252cdd35ae366bd787f8ef54990b0ef09802e556d8beca45b1e12eec8c930183,07/31/2025
3.12.0-amd64-tr-tr-ahmetneural,Docker Image,sha256:aa3f617df85c94645687ef4466bd22772da64364a92d4ce1cc03be3afe6f94d1,07/31/2025
3.12.0-amd64-tr-tr-emelneural,Docker Image,sha256:f7fbc01996f3355e549e2815ea15e6e840ea5f96238bcc9448beed57e340f6cc,07/31/2025
3.12.0-amd64-th-th-premwadeeneural,Docker Image,sha256:ce95a67285704921be098b3aeda9c6307bf2ec9145d964b0467d534eaac296fd,07/31/2025
3.12.0-amd64-th-th-niwatneural,Docker Image,sha256:325be4c8c4ec08d13996686ce40680df5e3b8220618f3cb0894b7ffce10ba68c,07/31/2025
3.12.0-amd64-th-th-acharaneural,Docker Image,sha256:037baa6660d42fdc3ed41c08a30937f90d0743886828bdffd9263186d4ded79b,07/31/2025
3.12.0-amd64-sv-se-hillevineural,Docker Image,sha256:d7df40f5bf6bb5238862bcb722b375d10c75b9c044cd42b53a194b92eae77246,07/31/2025
3.12.0-amd64-pt-br-franciscaneural,Docker Image,sha256:a729eb1f2c6e1123a325406b30f1e6b54d7578c97be4f5f743c9970ae909567f,07/31/2025
3.12.0-amd64-so-so-muuseneural,Docker Image,sha256:ef95d728da72e1619f72131a987efa125fbcea94805a63e49a93c8db67c2e001,07/31/2025
3.12.0-amd64-so-so-ubaxneural,Docker Image,sha256:854ddfd5b01ffa18286f4c4e4d1fbe3a7bc6c894e7ece3cf993a88c9a975a66c,07/31/2025
3.12.0-amd64-nb-no-finnneural,Docker Image,sha256:1bebab08e457f49324ca2dcc0947cae97066a750d4a37878aaa0485f13482fc4,07/31/2025
3.12.0-amd64-pt-pt-fernandaneural,Docker Image,sha256:c81d04b44e6708dd0f60f45d808812685f19ceedf8bb4c3f26e58d7b6fb074b4,07/31/2025
3.12.0-amd64-pl-pl-marekneural,Docker Image,sha256:1ff8ed2280c3ddda35b2f12aff3df77fef257054374e7998f758e356995e2c59,07/31/2025
3.12.0-amd64-pt-br-antonioneural,Docker Image,sha256:dbc8092106f315c9c5688f4468637c742054e4824f75bce640a5fb9d6f6a83fe,07/31/2025
3.12.0-amd64-pt-br-brendaneural,Docker Image,sha256:dab65206af67fda9c0fa86e43779933abb519f66ea9d3bd897eedfc0c11f49c0,07/31/2025
3.12.0-amd64-pl-pl-agnieszkaneural,Docker Image,sha256:780640973638fce46a6cfa325f2aef5972bd2e9c47d0d14f1fbba577963847b8,07/31/2025
3.12.0-amd64-nl-nl-fennaneural,Docker Image,sha256:37e349ba70beb171b738e98b90ad000b1eabc3306f5e0c2b0ac7957be536523a,07/31/2025
3.12.0-amd64-ko-kr-sunhineural,Docker Image,sha256:809a6b4653938a0678d0064454d9cb6dca931b10370cff5a5a3dcfdb4f41ae00,07/31/2025
3.12.0-amd64-ka-ge-giorgineural,Docker Image,sha256:117abd71c0555864386fca2cff35c5c71fb524463b5eb84bb2ab34b8f72bca2c,07/31/2025
3.12.0-amd64-ko-kr-injoonneural,Docker Image,sha256:0e82fa52660bff9315f915febce3afa7644009b399473afa62b9f65afa0beee6,07/31/2025
3.12.0-amd64-ja-jp-keitaneural,Docker Image,sha256:0f32adbe6f762089cd976e0846007ad6e173382bbb5b8344894d3bd7df73f576,07/31/2025
3.12.0-amd64-ja-jp-nanamineural,Docker Image,sha256:3449fcb1be9184f1f98317ccaf306a8671c2d6ca1c7582929054f685dbc22d6a,07/31/2025
3.12.0-amd64-ka-ge-ekaneural,Docker Image,sha256:893e6ed75ffb3e9fbc7502fed34c14f97cd2c5374eebb0280f21ba7add5b2f23,07/31/2025
3.12.0-amd64-it-it-elsaneural,Docker Image,sha256:60a3af25b89ca3350ac425a3f07b8637a180cd977523c3fe12e8010a42f2c6ba,07/31/2025
3.12.0-amd64-en-us-andrewmultilingualneural,Docker Image,sha256:472dd0011b26e50576e699f0d923f512eb7e7f409997cff1fc5740bf3e07a2a2,07/31/2025
3.12.0-amd64-fi-fi-selmaneural,Docker Image,sha256:bd770d68843db3116198f42394666f343ee0614a3919e4bc42a9c90561dcd887,07/31/2025
3.12.0-amd64-it-it-isabellaneural,Docker Image,sha256:4e2d3ae0fadc1695a7f1862c8c46afeb6ee0d5aef1d15bc007f83671cb86ff8f,07/31/2025
3.12.0-amd64-en-us-avamultilingualneural,Docker Image,sha256:e4482c3d511138706eca3053a4d91e2fefe5df1e477f7f44f3f06f08d95b9aae,07/31/2025
3.12.0-amd64-it-it-diegoneural,Docker Image,sha256:cf9086903e8141aa5d41be07b5a8bf957103756fa9c05eb64094c94705715fca,07/31/2025
3.12.0-amd64-id-id-gadisneural,Docker Image,sha256:f41674c1cf723095249e305410c3daf0e0e82d27e4ff7dea500f61398e18761b,07/31/2025
3.12.0-amd64-hi-in-swaraneural,Docker Image,sha256:cbbbc4dadd83a365c232360951cf0170fbd3e4a90fe926a7f5a7ea89cf816270,07/31/2025
3.12.0-amd64-id-id-ardineural,Docker Image,sha256:42070b8503d412a1531b969ec34f01780ae4b8d9899b6dfe65ad7f3ebbc58a11,07/31/2025
3.12.0-amd64-hi-in-madhurneural,Docker Image,sha256:751db20299a6ca513cd75024c74333798473785881bbd3947dc4f707e6f3eea5,07/31/2025
3.12.0-amd64-he-il-hilaneural,Docker Image,sha256:77678708c77bd265aac5236a180728788e0d399017938a589025b00988d5954b,07/31/2025
3.12.0-amd64-he-il-avrineural,Docker Image,sha256:84f77a775d125b24b6522fdbfec9eb8c4fdab6aff3d4a4f887f222caa90cd965,07/31/2025
3.12.0-amd64-es-es-ximenamultilingualneural,Docker Image,sha256:80dddcf4b0450d9ffdef9ed77127f52d2adcc9da0d331a79e31fef6fc937aeed,07/31/2025
3.12.0-amd64-fr-fr-deniseneural,Docker Image,sha256:8ff0265cb2063231766d931e58df508a77bd741330f8b5153ed2bae1cce13d91,07/31/2025
3.12.0-amd64-fr-fr-henrineural,Docker Image,sha256:d60a61c651ab920d4472af87d497ede4dd1a0441e0dde612ed3b457ab4f50551,07/31/2025
3.12.0-amd64-fr-ca-jeanneural,Docker Image,sha256:c5910ed71d45f8afda8070904c66faae63d393e0cb1d48f3ea1badc27ef74db7,07/31/2025
3.12.0-amd64-fr-ca-sylvieneural,Docker Image,sha256:4559e94a2a5295e8505b43984c1e6cfb97ee29174dec9b5affe76fc637a29953,07/31/2025
3.12.0-amd64-fr-ca-antoineneural,Docker Image,sha256:2f5eb44e3405730348785ae0c666bd0ca4560603a08bbdd3304a126f5df3fea6,07/31/2025
3.12.0-amd64-fil-ph-blessicaneural,Docker Image,sha256:7c7c1cfbd6eb1e1e19b878b7ba9e0adeb134fd0a3532b83e09770c1b5d4a2b4e,07/31/2025
3.12.0-amd64-es-mx-jorgeneural,Docker Image,sha256:126f34887af39af106b18700ce678741b52940901c99c493eb6a0233af3311c8,07/31/2025
3.12.0-amd64-fa-ir-faridneural,Docker Image,sha256:d1fb4cec22720207890b6a319cac11f12c3978b57b853d9ef11841f7d00a15ff,07/31/2025
3.12.0-amd64-es-us-palomaneural,Docker Image,sha256:8e5010c23369b5a783c5d66d873c4595c5b909113803d42c1d8376bfef0aa682,07/31/2025
