tag,type,sha,date
3.0-om,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-sa,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-kk,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-jv,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-xh,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-si,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-sd,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-la,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-be,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-vi,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-uz,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ug,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-tr,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-te,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ta,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-mn,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ml,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ky,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ko,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-kn,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ka,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-hy,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-gu,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-bn,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-az,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-zht,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-zhs,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-zh,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-uk,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-th,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-sk,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-pl,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-pa,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-or,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-ne,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-my,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-mr,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-lv,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-lt,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-lo,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
3.0-km,Container Image,sha256:d95a58a74ad237af09898697dc7e329c03ad5e7cdcbebbcd01fad683b329f306,08/28/2025
