tag,type,sha,date
5.0.3-preview-amd64-ml-in,Docker Image,sha256:50661dd929751a3e3d3a5b662d6dba89a49b8d50602d2a122ab540ca23065399,9/01/2025
5.0.3-preview-amd64-en-us,Docker Image,sha256:d310c43bf912586de07832bd8b47172cf55712fbcef6c3988a820d32abaf75da,9/01/2025
5.0.3-preview-amd64-sv-se,Docker Image,sha256:c9742d4666f070e981696e45aa99051171f819848b47cec02eaa6a80759e017e,08/30/2025
5.0.3-preview-amd64-pt-br,Docker Image,sha256:7ec34d5265f06be717c5cf6f82c896d6911cdfe0b1f66f3ed5d35f237c37b56f,08/30/2025
5.0.3-preview-amd64-ur-in,Docker Image,sha256:00f512a9eef9305111b3949eb2dbde6a6b6fd2e79a55fc9ad5b9a8ca7d8250ac,08/30/2025
5.0.3-preview-amd64-zh-tw,Docker Image,sha256:b92573e3a088a43c09aff80a28450e5a4cb6890feb9bd8beb6a7df33d32ef2d5,08/30/2025
5.0.3-preview-amd64-or-in,Docker Image,sha256:13a499c67f09fdaf5672c239f0021438dbdf69d55a14e3c9d28758851c88afba,08/30/2025
5.0.3-preview-amd64-pl-pl,Docker Image,sha256:e66bc6c3f86ba40a5492b5dde32c999fe7bd9531198acb9b44a54f9d1dfa3ff9,08/30/2025
5.0.3-preview-amd64-pa-in,Docker Image,sha256:627d65235b21ce3082c924e9e3894f163d79a9974101a719c6429f7001934c92,08/30/2025
5.0.3-preview-amd64-fi-fi,Docker Image,sha256:88a31626220be300063c7cf04d5300f78f305661abec1c56d47b4938b90fb309,08/30/2025
5.0.3-preview-amd64-he-il,Docker Image,sha256:160d816ff666efce8c2ce076f6dc79d3bd216c8b35aa20e8baabd8da4e822125,08/30/2025
5.0.3-preview-amd64-es-ve,Docker Image,sha256:0c6bae45c73114bbfe2bfb4305e91c95e2b10d0a4cdb9c968331348551957993,08/30/2025
5.0.3-preview-amd64-es-uy,Docker Image,sha256:d0cf2705852930534ffb54ac32bb513cf60043f252c1ea33bd79777ee1d2fc17,08/30/2025
5.0.3-preview-amd64-es-py,Docker Image,sha256:739c392970ff875363e163b0797f916fa11b7014ca6ae1945eefcb0acb9f3640,08/30/2025
5.0.3-preview-amd64-es-sv,Docker Image,sha256:79861aa6a0bb92ff7e6d590785598771625f3cc067f621e1d9ae2ba29565e190,08/30/2025
5.0.3-preview-amd64-es-pe,Docker Image,sha256:e42c57acda8bc37f8b2d708d799e5cbfc860c68c05faaa01b0e26e8a5e9b6de3,08/30/2025
5.0.3-preview-amd64-es-pr,Docker Image,sha256:ee1209e42cde4423fda336be36a6d57c8ae30666be38277ba2a9645b5f23efd6,08/30/2025
5.0.3-preview-amd64-es-pa,Docker Image,sha256:291d60c9ec1d3b2a0525fb41319c146d425b30734d005232103aaee9ade46bf4,08/30/2025
5.0.3-preview-amd64-es-ni,Docker Image,sha256:04a72ceb62ea5223bb883609932051028883135265656ed85f965d279d600350,08/30/2025
5.0.3-preview-amd64-es-hn,Docker Image,sha256:ca3684b0a8bc7d28362d3004c4b3c214d0fc170a51946809b64917447b802a14,08/30/2025
5.0.3-preview-amd64-es-gt,Docker Image,sha256:efcf6d59b75ec7748c4f383c1d8ce8b8bd6625b3694a6c0039c491b40b164136,08/30/2025
5.0.3-preview-amd64-es-cu,Docker Image,sha256:79bf45a08caac5047486f04a002e54f6c20afe5025a141eb7e4bfa8680753d77,08/30/2025
5.0.3-preview-amd64-es-gq,Docker Image,sha256:ff8877e8b69f46a6e354160ea9135eba0ee0ed5e566e869ac49c6815b8f5bd74,08/30/2025
5.0.3-preview-amd64-es-ec,Docker Image,sha256:bb3088dcd5a3c6a5280cdab644ac95cd032e90dbcd8254fe51419ac59d927f8b,08/30/2025
5.0.3-preview-amd64-es-do,Docker Image,sha256:e4da76fa686990168d526970fa0f6d5abcce32fe310bee70f91a6c9e2a526aee,08/30/2025
5.0.3-preview-amd64-es-co,Docker Image,sha256:85e5918d2f236cc5e8c1e68812b09a630d77aba62eca81b690ade7195c127ece,08/30/2025
5.0.3-preview-amd64-es-cr,Docker Image,sha256:b7c377faa3fb829b371a0f727889338d84d9fa57491fabc7924f35aa2257599a,08/30/2025
5.0.3-preview-amd64-es-cl,Docker Image,sha256:8219e3b89daa9d52af98c7ccba983a8a5beed525cea86940ebf1cf59dabc96e1,08/30/2025
5.0.3-preview-amd64-es-bo,Docker Image,sha256:94a282cfde0c3e744d6d812217f03f4615d4bad59ec72503750ffde1092e2ad8,08/30/2025
