tag,type,sha,date
1.16.0-amd64-pt-br-heloisarus,Docker Image,sha256:8bfdae115e747e812d2368be9f0081431c385a886730115f5626c48f8e2c7865,09/29/2021
1.16.0-amd64-zh-tw-hanhanrus,Docker Image,sha256:8dfa0c14648b25b616aae80397cd9da54b09b196914d4296f1b8d8e14f0b1a48,09/29/2021
1.16.0-amd64-zh-cn-huihuirus,Docker Image,sha256:e530b40a0bc93d2a6161239499e4290caa4153497ca8410e9c65d49b34cddb68,09/29/2021
1.16.0-amd64-zh-tw-zhiwei-apollo,Docker Image,sha256:f0785f701da7dc9199ed5e2ca86a3e47776e15a6f0a8752c397a99de3ea9894b,09/29/2021
1.16.0-amd64-zh-tw-yating-apollo,Docker Image,sha256:a70c0795364ae9f6d4990ba4ccc728de562a339a22c9df2c8ed5689c2c30e0cc,09/29/2021
1.16.0-amd64-zh-hk-tracy-apollo,Docker Image,sha256:a496b1bf6763e62635cb85b8d958a59c848acb83ce3488e1472615a85c8fb5ff,09/29/2021
1.16.0-amd64-zh-hk-danny-apollo,Docker Image,sha256:d6b1fc344fde0571fa86321aa2a3f3f841494059a4825e5b01aa00a7fbb0f20f,09/29/2021
1.16.0-amd64-zh-hk-tracyrus,Docker Image,sha256:a496b1bf6763e62635cb85b8d958a59c848acb83ce3488e1472615a85c8fb5ff,09/29/2021
1.16.0-amd64-zh-cn-yaoyao-apollo,Docker Image,sha256:2ec90b59e0086202b1a25b5ccecfc963cc59a7fa6c22fdfb690a9e7c3c28bef6,09/29/2021
1.16.0-amd64-zh-cn-kangkang-apollo,Docker Image,sha256:ee563c80c47f7e218218cafcab84375c833df181a61b0da62347fa4bf86a22a5,09/29/2021
1.16.0-amd64-tr-tr-sedarus,Docker Image,sha256:601df084a737c0edeb773280c45c6108a63535b69eedb1d66ad42f030bc43b81,09/29/2021
1.16.0-amd64-vi-vn-an,Docker Image,sha256:2fd9c32081cca648655c2de74809557ef2596f1868ea7b70872e1076517b7911,09/29/2021
1.16.0-amd64-th-th-pattara,Docker Image,sha256:a8d350b4ab068a1a85a0415304e3272fb27bf44d7e2e7886f011b1ab85cd4c80,09/29/2021
1.16.0-amd64-sv-se-hedvigrus,Docker Image,sha256:6b45c5197d02625b132647ba852692f184aaf7793d8a3ad730b1eedb6ba8b271,09/29/2021
1.16.0-amd64-te-in-chitra,Docker Image,sha256:db0f86d90f0b0be24ba63791a84890422099cb2c57eab3bbf3d66d6a0baf878b,09/29/2021
1.16.0-amd64-ta-in-valluvar,Docker Image,sha256:d7ec17351c9d6addb4434a2c5f7cb31d639e0763eccbadae8a654664be5861d8,09/29/2021
1.16.0-amd64-sl-si-lado,Docker Image,sha256:253537d406cf45933258e367a4d5acf00c09402e627ba66469639f764f7be487,09/29/2021
1.16.0-amd64-ru-ru-ekaterinarus,Docker Image,sha256:883c78c31f51dc5155f774f380b72c6a4f18b761eab1592ed444dd0e830fc35f,09/29/2021
1.16.0-amd64-sk-sk-filip,Docker Image,sha256:e0e1f05a3277a62b28f25058abaaf28e453787763c15f6f73c6742f8a6eddcc6,09/29/2021
1.16.0-amd64-ru-ru-pavel-apollo,Docker Image,sha256:15aec4589ca6cd00816805c5fe1bfdab4803134abdd06fa6e2fc44e67a0dca67,09/29/2021
1.16.0-amd64-pt-pt-heliarus,Docker Image,sha256:51274147fbfb4584f64947ec002da41f75e582b9f0688a2ceb210f86d2c28816,09/29/2021
1.16.0-amd64-ru-ru-irina-apollo,Docker Image,sha256:d1bdb7e1bd4b27d60b5d10dc4314be43dc9a70fca4bd5b668ce9b4ea0a40b9c2,09/29/2021
1.16.0-amd64-pl-pl-paulinarus,Docker Image,sha256:75db09e942d832dc5e2296522d488bb440e817d2fbf38f8066e26b17f2ae1e6a,09/29/2021
1.16.0-amd64-nl-nl-hannarus,Docker Image,sha256:e4cce4631734228fd4670ddb9bb6ca3010fc633a8e703c7d57c4b4e505d8322c,09/29/2021
1.16.0-amd64-ro-ro-andrei,Docker Image,sha256:d68c6095f2cfec376c29e9a20e81c465d96950bca2c441abc4613626930b3e8a,09/29/2021
1.16.0-amd64-ja-jp-harukarus,Docker Image,sha256:ef880d43fd3a8f3fc1b30dbaca533d78fc5050bd21e7c3f3c24b1601e190f1a4,09/29/2021
1.16.0-amd64-ko-kr-heamirus,Docker Image,sha256:4df9d79912d3de15d24fea896cfaa7148be94e5022f93bf939227e02746e210d,09/29/2021
1.16.0-amd64-pt-br-daniel-apollo,Docker Image,sha256:2e0bbe17483bc5921e141e7a88dc6ca4b20b5ea2b9c38f5a3fbdd5ad5f986cda,09/29/2021
1.16.0-amd64-nb-no-huldarus,Docker Image,sha256:a01c26cce4027d812f3ef25cba97aa3de608fb0225590d459d00fab1150f04b6,09/29/2021
1.16.0-amd64-ms-my-rizwan,Docker Image,sha256:8ca8b34c4a0a01f1384cd0ead94232384bb785e28c6ac9ab80bd78c8b6a42fb9,09/29/2021
1.16.0-amd64-it-it-luciarus,Docker Image,sha256:507d85613e77e584e4faacaa88620f3917b61703667f206c89e124b207d7cc8c,09/29/2021
latest,Docker Image,sha256:ec7754862caf3b844ad875ce3b67c716fa70cebe516ced94adae90098013a535,09/29/2021
1.16.0-amd64-en-us-ariarus,Docker Image,sha256:ec7754862caf3b844ad875ce3b67c716fa70cebe516ced94adae90098013a535,09/29/2021
1.16.0-amd64-en-us-aria24krus,Docker Image,sha256:ec7754862caf3b844ad875ce3b67c716fa70cebe516ced94adae90098013a535,09/29/2021
1.16.0-amd64-ja-jp-ichiro-apollo,Docker Image,sha256:35354cfc88565069f4f901f70c16f623891780add0b4c77a27bbfd77be98a906,09/29/2021
1.16.0-amd64-fr-fr-hortenserus,Docker Image,sha256:bed048056ace2d8a0ba3ffebbc64240ca018f34fdc1f30ab99b85772a240145c,09/29/2021
